model,feature,mean_abs_shap
lgb,MOFA_Factor9,0.09098581403689611
lgb,MOFA_Factor10,0.07702240347706098
lgb,MOFA_Factor11,0.09108045212565455
lgb,MOFA_Factor12,0.13126485406695895
lgb,MOFA_Factor13,0.1181241613675755
lgb,MOFA_Factor14,0.09496120737117697
lgb,MOFA_Factor15,0.11807652782858093
lgb,MOFA_Factor16,0.07765237119004807
lgb,MOFA_Factor17,0.08084516312942017
lgb,MOFA_Factor18,0.07910230907712514
lgb,CT_adrenocortical cancer,5.2939510422298004e-05
lgb,CT_bladder urothelial carcinoma,0.013672660774538251
lgb,CT_brain lower grade glioma,0.0015852139880411377
lgb,CT_breast invasive carcinoma,0.22515565487550665
lgb,CT_cervical & endocervical cancer,0.010504822122406703
lgb,CT_cholangiocarcinoma,0.0009693869789635371
lgb,CT_colon adenocarcinoma,0.0030740612860025887
lgb,CT_diffuse large B-cell lymphoma,0.0
lgb,CT_esophageal carcinoma,0.023401292415681157
lgb,CT_glioblastoma multiforme,0.06019029513654363
lgb,CT_head & neck squamous cell carcinoma,0.0014510004124594507
lgb,CT_kidney chromophobe,0.005039358194835643
lgb,CT_kidney clear cell carcinoma,0.0010041329468671442
lgb,CT_kidney papillary cell carcinoma,0.001861913991416847
lgb,CT_liver hepatocellular carcinoma,0.002075231460592156
lgb,CT_lung adenocarcinoma,0.009610821961586864
lgb,CT_lung squamous cell carcinoma,0.008722431355756033
lgb,CT_mesothelioma,0.03323239054704816
lgb,CT_ovarian serous cystadenocarcinoma,0.0
lgb,CT_pancreatic adenocarcinoma,0.015071703747693318
lgb,CT_pheochromocytoma & paraganglioma,0.05246618152646221
lgb,CT_prostate adenocarcinoma,0.21972401468179392
lgb,CT_rectum adenocarcinoma,0.011352712543121493
lgb,CT_sarcoma,0.0022100882079512697
lgb,CT_stomach adenocarcinoma,0.04657637238092303
lgb,CT_testicular germ cell tumor,0.07392683624851452
lgb,CT_thymoma,0.046320542747670175
lgb,CT_thyroid carcinoma,0.12369916383023884
lgb,CT_uterine carcinosarcoma,0.004948400240951793
lgb,CT_uterine corpus endometrioid carcinoma,0.029086461175839084
lgb,CT_uveal melanoma,0.0010404475505342912
lgb,age_at_dx,0.46440500034024
