,Factor1
TCGA-ED-A627-01,-3.4561709218932606
TCGA-N6-A4VC-01,-2.1078951832198656
TCGA-39-5028-01,0.5239283446896883
TCGA-C8-A3M8-01,-2.7966774339914644
TCGA-BH-A0BM-01,-3.1011402974108573
TCGA-DM-A0X9-01,2.099842530049607
TCGA-AY-A69D-01,2.2733343433598274
TCGA-AN-A0XW-01,3.6613238626016007
TCGA-55-A4DG-01,13.64207454489823
TCGA-RW-A684-01,-2.4545634793833586
TCGA-ET-A2N4-01,-3.1967565355322143
TCGA-58-A46J-01,2.948585173841036
TCGA-06-2561-01,-1.3538240795472296
TCGA-KK-A8I5-01,-2.7451208264858638
TCGA-IN-8663-01,1.7625768493904772
TCGA-DD-AAVV-01,0.4824346263211977
TCGA-37-4133-01,3.261295775000528
TCGA-2G-AAHN-01,-2.9581690415188104
TCGA-L9-A5IP-01,6.103529628546133
TCGA-CJ-5672-01,-2.836921098297695
TCGA-73-4662-01,3.2680614893884203
TCGA-3U-A98I-01,-1.5369071005405115
TCGA-CQ-5327-01,3.0771646008639277
TCGA-E2-A1LL-01,-2.8411745687248455
TCGA-FD-A3SR-01,-0.2571078477975125
TCGA-KK-A8II-01,-2.8288065574281833
TCGA-BH-A18K-01,-2.5286913560971835
TCGA-55-6712-01,0.18877237899009222
TCGA-BJ-A0Z2-01,-2.299848212207432
TCGA-DK-A6B0-01,-2.763666777718339
TCGA-97-7553-01,-1.4724374918398688
TCGA-ET-A2N0-01,-3.3869082808926256
TCGA-FB-A7DR-01,-2.8730495601209207
TCGA-YB-A89D-01,-2.2456777690969565
TCGA-CH-5752-01,-1.900129985585348
TCGA-77-7142-01,3.689935018232156
TCGA-CR-7374-01,6.729791232536545
TCGA-KS-A4I1-01,-2.98225814110627
TCGA-60-2719-01,1.2903760752544386
TCGA-VR-A8Q7-01,-1.4201486862295394
TCGA-YU-A90Y-01,-2.8018453419291705
TCGA-FD-A5BS-01,-3.4561709218932606
TCGA-IG-A3Y9-01,3.4128370717163956
TCGA-J7-6720-01,-2.949617758045611
TCGA-E9-A24A-01,-2.837791067344273
TCGA-49-AARE-01,20.133964272034042
TCGA-BC-4073-01,-1.0746609543955694
TCGA-AC-A6IV-01,-3.070518603063567
TCGA-DK-A1AD-01,2.5446365587328144
TCGA-EM-A2OW-01,-3.4561709218932606
TCGA-XF-AAMQ-01,-0.6946379046100574
TCGA-EM-A2OZ-01,-3.3869082808926256
TCGA-WB-A816-01,-3.4561709218932606
TCGA-EM-A1CS-01,-3.4561709218932606
TCGA-B0-5075-01,-2.754513943682359
TCGA-P3-A6T0-01,-0.9666808021705667
TCGA-AY-A8YK-01,-0.3373161792031063
