feature,cox_mean_abs_shap,ds_mean_abs_shap,avg_importance
EXPR_PC14,0.16304537299518423,0.09676204299353441,0.12990370799435932
EXPR_PC9,0.11720852505661264,0.1332416080702009,0.12522506656340676
EXPR_PC4,0.1313967198950364,0.06877748371107978,0.10008710180305809
CNV_PC15,0.10380995740077024,0.08829230673014213,0.09605113206545618
EXPR_PC50,0.08461364605769259,0.07093497226031505,0.07777430915900382
EXPR_PC42,0.0945759191596321,0.05598964489863561,0.07528278202913385
MUT_USH2A,0.06200604178706614,0.06752251945786392,0.06476428062246503
EXPR_PC37,0.06804707492734044,0.05841543089038163,0.06323125290886103
EXPR_PC46,0.07354686435499493,0.0496859068218387,0.06161638558841681
MUT_CSMD1,0.0626220560386979,0.056498241093951684,0.05956014856632479
MUT_LAMA1,0.059638309933498966,0.05725726058487427,0.05844778525918662
EXPR_PC33,0.05644407112941646,0.058924338353650935,0.0576842047415337
CNV_PC30,0.05328804225566441,0.05832340985285268,0.05580572605425854
EXPR_PC24,0.08337036960423558,0.02710379734042696,0.05523708347233127
EXPR_PC34,0.05419317532410021,0.0559178118525321,0.05505549358831616
CNV_PC3,0.07581628505880413,0.03406705687677799,0.054941670967791054
EXPR_PC47,0.040205012361035845,0.06790386155641116,0.0540544369587235
CNV_PC16,0.06372943645305687,0.04307352666710437,0.05340148156008062
MUT_RYR2,0.07691032160077199,0.027566391331424824,0.05223835646609841
EXPR_PC38,0.040060846660525194,0.05941630316686238,0.04973857491369379
CNV_PC23,0.06333370695827073,0.03358025692167093,0.048456981939970833
MUT_PKHD1,0.05870023281931094,0.03635042249477398,0.047525327657042454
CNV_PC28,0.06668843265578332,0.02749103748260343,0.047089735069193374
MUT_PCDH15,0.04119332481864592,0.052168572118056464,0.04668094846835119
CNV_PC19,0.06166622111264678,0.030458134995579002,0.04606217805411289
EXPR_PC22,0.06368372515035275,0.02798948759511964,0.0458366063727362
CNV_PC5,0.049979439397844404,0.04020813464584025,0.04509378702184233
MUT_PLEC,0.06739579502424947,0.022581714535668294,0.04498875477995888
CNV_PC4,0.0402089053285507,0.045428626982015656,0.042818766155283176
MUT_TP53,0.039240710292998214,0.04549400374745403,0.04236735702022612
EXPR_PC17,0.040575467462658325,0.04209008412142561,0.04133277579204197
MUT_KMT2D,0.0456223662919623,0.03453864990873212,0.04008050810034721
EXPR_PC30,0.02515901723191675,0.052874396564958924,0.039016706898437836
CNV_PC18,0.04970257484989449,0.020089403434997866,0.034895989142446175
MUT_HYDIN,0.04337928839732981,0.026293996791851675,0.03483664259459074
MUT_FBN2,0.04221952481374804,0.026890229937757703,0.03455487737575287
MUT_PCDH11X,0.03228717158839552,0.03287591561595774,0.03258154360217663
EXPR_PC1,0.029396955299623415,0.03551528058087023,0.032456117940246824
MUT_MUC5B,0.0406032526243252,0.020972423438767034,0.030787838031546118
MUT_SI,0.023141555610789698,0.03815438901003704,0.030647972310413368
