factor,overall_att,overall_se,overall_p,n_units,n_treated,att_rel_-3,se_rel_-3,p_rel_-3,att_rel_-2,se_rel_-2,p_rel_-2,att_rel_0,se_rel_0,p_rel_0,att_rel_-1,se_rel_-1,p_rel_-1,att_rel_1,se_rel_1,p_rel_1
Factor8,0.29708954738621074,0.1981604697031255,0.13381210812201444,19,11,0.1079137786435219,0.11585974539717797,0.35163771229045315,-0.017830310726647335,0.07781120896383542,0.8187536093901691,0.29708954738621074,0.1981604697031255,0.13381210812201444,0.0,,,,,
Factor6,-0.4855735241121246,0.06659487794258263,3.066263916443299e-13,19,11,-0.43598276961110904,0.1049863063627009,3.284914432879296e-05,-0.2120747046864265,0.22035224551346352,0.33583115933962104,-0.36824324566836586,0.060926223899135636,1.5026074727627267e-09,0.0,,,-0.7202340809996421,0.045695407891688244,5.714063107039845e-56
Factor1,-0.12936611000069603,0.05900302592008547,0.02834100804848908,19,10,,,,-0.4522813293101954,0.2452057919098709,0.06511075346823983,-0.07263960250276424,0.11465603393858945,0.5263786840971785,0.0,,,-0.18609261749862785,0.07499711409880074,0.01308929911773039
Factor15,-0.2850086844573674,0.032814294495986995,3.770669408296484e-18,19,11,,,,-0.37273375758345695,0.14141015601766402,0.008393067429433281,-0.23498126217164378,0.046985377434511054,5.698719946298589e-07,0.0,,,-0.335036106743091,0.03452628817720452,2.904814226273449e-22
Factor12,-0.026439328535979627,0.058623946194197495,0.6519904242951633,19,8,0.08414260728849908,0.05747071149928332,0.1431678699610355,0.28853215241604196,0.06821344468071765,2.3385460127480487e-05,-0.026439328535979627,0.058623946194197495,0.6519904242951633,0.0,,,,,
