fold,ftt_cindex,xgb_cindex,lgb_cindex,xgb_raw_cindex
1,0.7433423416666465,0.7361034159890255,0.7381744455278101,0.7438697767594679
2,0.7515230949788324,0.749736495224521,0.7518071568644551,0.7586969034762696
3,0.7598695673185757,0.7573641813746811,0.7486576472772687,0.6180062214964658
4,0.7452175325892689,0.7378060516678957,0.7341865493494645,0.7430153353913836
5,0.7562532896995217,0.7517042868439989,0.7526857933293157,0.7550937898101319
