gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
AKR1B10,expression,0.03886664570412982,0.03886664570412982,1,up,Unknown,Unknown,Under investigation,Partial
ABCF3,expression,0.03881851275320375,0.03881851275320375,1,up,Unknown,Unknown,Under investigation,Partial
PSMD2,expression,0.03879442240821934,0.03879442240821934,1,up,Unknown,Unknown,Under investigation,Partial
CAMK2N2,expression,0.038794271794058754,0.038794271794058754,1,up,Unknown,Unknown,Under investigation,Partial
ECE2,expression,0.03879069836679916,0.03879069836679916,1,up,Unknown,Unknown,Under investigation,Partial
B3GNT5,expression,0.038790021561356976,0.038790021561356976,1,up,Unknown,Unknown,Under investigation,Partial
SNORD66|ENSG00000212158.1,expression,0.03878981508132161,0.03878981508132161,1,up,Unknown,Unknown,Under investigation,Partial
ALG3,expression,0.03878904229562097,0.03878904229562097,1,up,Unknown,Unknown,Under investigation,Partial
VWA5B2,expression,0.03878904229562097,0.03878904229562097,1,up,Unknown,Unknown,Under investigation,Partial
MIR1224,expression,0.03878904229562097,0.03878904229562097,1,up,Unknown,Unknown,Under investigation,Partial
RNA5SP151,expression,0.038785821620290366,0.038785821620290366,1,up,Unknown,Unknown,Under investigation,Partial
DCUN1D1,expression,0.03877489075289921,0.03877489075289921,1,up,Unknown,Unknown,Under investigation,Partial
CHRD,expression,0.03877070345948828,0.03877070345948828,1,up,Unknown,Unknown,Under investigation,Partial
MCCC1,expression,0.03876489585712994,0.03876489585712994,1,up,Unknown,Unknown,Under investigation,Partial
EIF4G1,expression,0.03876458512749803,0.03876458512749803,1,up,Unknown,Unknown,Under investigation,Partial
FAM131A,expression,0.03876458512749803,0.03876458512749803,1,up,Unknown,Unknown,Under investigation,Partial
CLCN2,expression,0.038755211528379976,0.038755211528379976,1,up,Unknown,Unknown,Under investigation,Partial
POLR2H,expression,0.03875354650057622,0.03875354650057622,1,up,Unknown,Unknown,Under investigation,Partial
VPS8,expression,0.038751300883979066,0.038751300883979066,1,up,Unknown,Unknown,Under investigation,Partial
LAMP3,expression,0.03874939949042983,0.03874939949042983,1,up,Unknown,Unknown,Under investigation,Partial
EHHADH,expression,0.03874793200226708,0.03874793200226708,1,up,Unknown,Unknown,Under investigation,Partial
THPO,expression,0.03874566702805564,0.03874566702805564,1,up,Unknown,Unknown,Under investigation,Partial
ATP11B,expression,0.03874316175667252,0.03874316175667252,1,up,Unknown,Unknown,Under investigation,Partial
GPX2,expression,0.03872922158551475,0.03872922158551475,1,up,Unknown,ROS/oxidative stress,No direct inhibitor; ROS amplification strategies (auranofin/arsenic trioxide).,Partial
YEATS2,expression,0.0387269847133555,0.0387269847133555,1,up,Unknown,Unknown,Under investigation,Partial
MAP6D1,expression,0.0387269847133555,0.0387269847133555,1,up,Unknown,Unknown,Under investigation,Partial
SNORA63|ENSG00000201229.1,expression,0.0387269847133555,0.0387269847133555,1,up,Unknown,Unknown,Under investigation,Partial
GUCY1B2,expression,0.03839149079482901,0.026609006040019867,2,up,Unknown,Unknown,Under investigation,Partial
SPRYD7,expression,0.03791278538531383,0.026334504296153357,2,up,Unknown,Unknown,Under investigation,Partial
KRT6B,expression,0.03756377049905896,0.03756377049905896,1,up,Unknown,Unknown,Under investigation,Partial
PCSK9,expression,0.037376832728345875,0.037376832728345875,1,up,Unknown,Unknown,Under investigation,Partial
FNDC3A,expression,0.037264466688396905,0.02589350707108802,2,up,Unknown,Unknown,Under investigation,Partial
LY6D,expression,0.03711528572445137,0.03711528572445137,1,up,Unknown,Unknown,Under investigation,Partial
LINC01133,expression,0.03699218429501442,0.03699218429501442,1,up,Unknown,Unknown,Under investigation,Partial
PTPRZ1,expression,0.03696253634440897,0.03696253634440897,1,up,Unknown,Glioma/neural,Receptor tyrosine phosphatase in glioma; pleiotrophin antagonism; glioCAR.,Partial
