gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
DNAH9,expression,7.82682223055072e-06,7.82682223055072e-06,1,down,Unknown,Unknown,Under investigation,Partial
KMT2C,expression,1.3030229504490936e-06,1.3030229504490936e-06,1,down,TSG,Histone methyltransferase,Under investigation,Yes
NEB,expression,1.0199510889707618e-06,1.0199510889707618e-06,1,down,Unknown,Unknown,Under investigation,Partial
MUC5B,expression,7.806818828058349e-07,7.806818828058349e-07,1,down,Unknown,Unknown,Under investigation,Partial
KMT2B,expression,6.552839170757498e-07,6.552839170757498e-07,1,down,Unknown,Unknown,Under investigation,Partial
SPAG17,expression,5.347071183230645e-07,5.347071183230645e-07,1,down,Unknown,Unknown,Under investigation,Partial
SPEN,expression,4.67602700755098e-07,4.67602700755098e-07,1,down,Unknown,Unknown,Under investigation,Partial
MDN1,expression,4.541169148010039e-07,4.541169148010039e-07,1,down,Unknown,Unknown,Under investigation,Partial
NCOR1,expression,4.2151585011505864e-07,4.2151585011505864e-07,1,down,Unknown,Unknown,Under investigation,Partial
ANK3,expression,4.2022249938832755e-07,4.2022249938832755e-07,1,down,Unknown,Unknown,Under investigation,Partial
RNF213,expression,4.1472355662646544e-07,4.1472355662646544e-07,1,down,Unknown,Unknown,Under investigation,Partial
DCHS1,expression,4.0215002559985695e-07,4.0215002559985695e-07,1,down,Unknown,Unknown,Under investigation,Partial
SYNE2,expression,3.9039976769651186e-07,3.9039976769651186e-07,1,down,Unknown,Unknown,Under investigation,Partial
VWF,expression,3.56836137290588e-07,3.56836137290588e-07,1,down,Unknown,Unknown,Under investigation,Partial
