,cnv
Factor1,0.28119457197089426
Factor2,0.2261566540111738
Factor3,0.16787887414827807
Factor4,0.07225574157094761
Factor5,0.058216743895582845
Factor6,0.03596988619089936
Factor7,0.020553025068375308
Factor8,0.009172253008314035
Factor9,0.009971326486687637
Factor10,0.010858630604286823
Factor11,0.007929613776550104
Factor12,0.006977469388725233
Factor13,0.006741569117269419
Factor14,0.006193557204372091
Factor15,0.004431669076427225
Factor16,0.00404863245298126
