condition,ftt_mean,ftt_std,xgb_mean,xgb_std,lgb_mean,lgb_std
Joint (3-modal),0.751241165250569,0.006298027668387324,0.7465428862200245,0.008237165051085776,0.7451023184696628,0.0075133714238202216
Expression only,0.762228856214279,0.0065538642367038,0.7594602973682952,0.0093888029151078,0.7569164886269866,0.0100320747104834
Mutation only,0.752004047245755,0.0062048937253358,0.7402168110375233,0.0039327390885742,0.7316550544806925,0.0068120852848148
CNV only,0.7493469771501248,0.0039094402795417,0.7423834882551681,0.0038468670752181,0.7400163309944346,0.0069085479607495
