covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
EXPR_PC33,-0.07636236227094652,0.9264804241751312,0.0668484288521259,-0.20738287524420151,0.054658150702308464,0.8127084244746156,1.0561794987355169,0.0,-1.142320972716744,0.25332062670504596,1.9809635411945556
CNV_PC15,0.13396432235143838,1.1433520268051605,0.05932457043386596,0.017690300902751366,0.2502383438001254,1.0178477010579168,1.2843314926592186,0.0,2.2581591635927576,0.02393573817887675,5.384689890273018
EXPR_PC31,-0.025708506345390604,0.9746191435027761,0.06773382770643945,-0.15846436918505316,0.10704735649427197,0.8534533724883683,1.1129869603919467,0.0,-0.3795519493865323,0.7042780349022102,0.5057830063838905
MUT_LAMA1,0.12079048466601686,1.1283884729115983,0.05715157723549446,0.008775451624788488,0.23280551770724522,1.0088140687787315,1.262135992355039,0.0,2.113510956457015,0.03455705823979155,4.854875780245061
CNV_PC18,-0.0656475927320237,0.9364608217482603,0.059794067133928396,-0.1828418108036935,0.05154662533964609,0.8328999010824271,1.0528982768874644,0.0,-1.097894755762046,0.2722504482009009,1.8769936708609385
EXPR_PC1,0.035592328349763204,1.0362333174236702,0.07515466137922712,-0.1117081012238253,0.1828927579233517,0.8943052660171478,1.2006856371549932,0.0,0.47358776816471676,0.635793899713646,0.653368920649743
EXPR_PC38,0.04970853048411665,1.0509647275492568,0.0627647200159659,-0.07330806024691677,0.17272512121515007,0.9293145010701097,1.1885393559239807,0.0,0.7919820318081868,0.4283711532797767,1.2230667633086139
EXPR_PC27,0.0284801923161161,1.0288896307121265,0.06352326239509211,-0.096023114158752,0.15298349879098422,0.9084430179298963,1.1653057498303412,0.0,0.4483427211118256,0.6539058731824972,0.6128451136991585
MUT_ABCA13,-0.035302872733600534,0.9653130049895005,0.057381548902250445,-0.14776864195913528,0.07716289649193422,0.8626306683984375,1.0802180257883667,0.0,-0.6152303904124135,0.5384025805078799,0.8932427702344524
EXPR_PC9,-0.138156052402864,0.8709627653079192,0.08117290459024765,-0.2972520219202554,0.020939917114527418,0.742856772578366,1.0211606955132029,0.0,-1.7019971516389778,0.08875590222042291,3.4940131286249367
EXPR_PC49,-0.02191831214051847,0.9783201486660117,0.060932671429202244,-0.14134415362356761,0.09750752934253067,0.8681904693808001,1.1024197420279278,0.0,-0.35971362532472234,0.719061301657111,0.47581332585455
EXPR_PC50,0.11096656879745205,1.1173575516234198,0.060068832666748895,-0.006766179822738874,0.228699317417643,0.9932566592318764,1.2569640349911038,0.0,1.8473235431937667,0.06470026278139883,3.9500846180105578
MUT_RYR2,-0.09633807299254368,0.9081569408300227,0.058166228267317564,-0.21034178551302174,0.017665639527934374,0.8103072473575839,1.0178225998437707,0.0,-1.656254425674599,0.09767030558807391,3.3559361791923625
EXPR_PC4,0.1482329968681914,1.1597830907124502,0.08690959808505577,-0.022106685289369155,0.318572679025752,0.9781358767755063,1.3751635630999752,0.0,1.7055998432200814,0.08808260859822523,3.504998994305739
MUT_MDN1,-0.0029030940099532766,0.9971011158925623,0.05491420128885374,-0.11053295077588964,0.10472676275598307,0.8953568270012645,1.1104071643079,0.0,-0.05286599717043567,0.9578386768206754,0.06214540317353166
MUT_HYDIN,-0.07514949250207666,0.9276048059995893,0.059766498690314585,-0.19228967741715355,0.04199069241300024,0.8250678303533054,1.0428847719648442,0.0,-1.2573848920190291,0.20861429724593653,2.261090059469853
EXPR_PC46,0.0945144463248209,1.0991250413356648,0.05795866050738222,-0.019082440861832237,0.20811133351147404,0.9810984763047697,1.2313502524652262,0.0,1.6307217160890484,0.10294905222752805,3.2799975466358857
EXPR_PC42,0.11882098898709403,1.1261683037145263,0.060331204693705766,0.0005740006435168699,0.2370679773306712,1.0005741654134108,1.2675272779676898,0.0,1.969478143032844,0.04889821007469541,4.35407453366926
MUT_HMCN1,0.005700761069240705,1.0057170413295473,0.05920639991029705,-0.11034165040921701,0.12174317254769843,0.8955281254747807,1.129463987168924,0.0,0.096286230506801,0.9232932467368803,0.11513916053624326
MUT_CNTNAP5,0.06349441189787053,1.0655535313628721,0.05606735914608313,-0.046395592736724806,0.17338441653246586,0.9546642292463352,1.1893232127239526,0.0,1.1324666056133705,0.25743831633821584,1.9577012989932343
MUT_GPR112,-0.02737058669693603,0.9730005936266988,0.05591253994614673,-0.1369571512755407,0.08221597788166865,0.8720075897445515,1.0856902695941513,0.0,-0.4895250103697409,0.6244700523537234,0.6792957085733443
MUT_MUC17,-0.058663084773197434,0.9430244349322521,0.05829467153565195,-0.1729185414736675,0.05559237192727264,0.8412061354659278,1.057166665084688,0.0,-1.0063198441270944,0.3142617376888312,1.6699614645161271
EXPR_PC37,0.08976073515727971,1.0939125175842748,0.05942487261883919,-0.026709874961525507,0.20623134527608494,0.9736436789610887,1.2290375031288934,0.0,1.510490998155262,0.13091818462860735,2.9332625923222637
MUT_APOB,-0.07212372390774895,0.930415774014301,0.05529505727838981,-0.18050004469647235,0.03625259688097447,0.8348526433819746,1.0369177355991848,0.0,-1.3043430544729002,0.19211664176125143,2.37994559958756
EXPR_PC34,0.07236166775474788,1.075044082542078,0.06382216616178245,-0.052727479337676644,0.19745081484717242,0.9486385008515451,1.2182931415616238,0.0,1.1338015004272763,0.2568778214883352,1.960845759767498
CNV_PC16,-0.08347743897334758,0.9199118405926742,0.06281991244342368,-0.20660220487441758,0.03964732692772241,0.813343129576375,1.040443772978521,0.0,-1.3288372384875307,0.18390167359962323,2.442993485812388
EXPR_PC20,0.006280452246204708,1.0063002156390983,0.07649373856154691,-0.14364452037724995,0.15620542486965938,0.8661956082249949,1.169066333723851,0.0,0.08210413511364008,0.934563904883606,0.09763477697742276
